PostalCode,HubID,LMR,CourierId
0856,PTG,Regional,courier_a
0857,PTG,Regional,courier_a
0858,PTG,Regional,courier_a
0859,PTG,Regional,courier_a
0860,PTG,Regional,courier_a
0861,PTG,Regional,courier_a
0862,PTG,Regional,courier_a
0863,PTG,Regional,courier_a
0864,PTG,Regional,courier_a
0865,PTG,Regional,courier_a
0866,PTG,Regional,courier_a
0867,PTG,Regional,courier_a
0868,PTG,Regional,courier_a
0869,PTG,Regional,courier_a
0870,PTG,Regional,courier_a
0871,PTG,Regional,courier_a
0872,PTG,Regional,courier_a
0873,PTG,Regional,courier_a
0875,PTG,Regional,courier_a
0876,PTG,Regional,courier_a
0877,PTG,Regional,courier_a
0878,PTG,Regional,courier_a
0880,PTG,Regional,courier_a
0881,PTG,Regional,courier_a
0882,PTG,Regional,courier_a
0883,PTG,Regional,courier_a
0884,PTG,Regional,courier_a
0885,PTG,Regional,courier_a
0886,PTG,Regional,courier_a
0889,PTG,Regional,courier_a
0890,PTG,Regional,courier_a
0891,PTG,Regional,courier_a
0892,PTG,Regional,courier_a
0893,PTG,Regional,courier_a
0894,PTG,Regional,courier_a
0895,PTG,Regional,courier_a
0896,PTG,Regional,courier_a
0897,PTG,Regional,courier_a
0898,PTG,Regional,courier_a
0899,PTG,Regional,courier_a
0900,PTG,Regional,courier_a
0901,PTG,Regional,courier_a
0902,PTG,Regional,courier_a
0903,PTG,Regional,courier_a
0904,PTG,Regional,courier_a
0905,PTG,Regional,courier_a
0906,PTG,Regional,courier_a
0907,PTG,Regional,courier_a
0909,PTG,Regional,courier_a
0910,PTG,Regional,courier_a
0912,PTG,Regional,courier_a
0913,PTG,Regional,courier_a
0914,PTG,Regional,courier_a
0915,PTG,Regional,courier_a
0916,PTG,Regional,courier_a
0917,PTG,Regional,courier_a
0918,PTG,Regional,courier_a
0920,PTG,Regional,courier_a
0921,PTG,Regional,courier_a
0922,PTG,Regional,courier_a
0923,PTG,Regional,courier_a
0924,PTG,Regional,courier_a
0925,PTG,Regional,courier_a
0926,PTG,Regional,courier_a
0927,PTG,Regional,courier_a
0928,PTG,Regional,courier_a
0929,PTG,Regional,courier_a
0930,PTG,Regional,courier_a
0931,PTG,Regional,courier_a
0932,PTG,Regional,courier_a
0933,PTG,Regional,courier_a
0934,PTG,Regional,courier_a
0935,PTG,Regional,courier_a
0936,PTG,Regional,courier_a
0937,PTG,Regional,courier_a
0938,PTG,Regional,courier_a
0939,PTG,Regional,courier_a
0940,PTG,Regional,courier_a
0941,PTG,Regional,courier_a
0942,PTG,Regional,courier_a
0943,PTG,Regional,courier_a
0944,PTG,Regional,courier_a
0945,PTG,Regional,courier_a
0946,PTG,Regional,courier_a
0947,PTG,Regional,courier_a
0948,PTG,Regional,courier_a
0949,PTG,Regional,courier_a
0950,PTG,Regional,courier_a
0951,PTG,Regional,courier_a
0952,PTG,Regional,courier_a
0953,PTG,Regional,courier_a
0954,PTG,Regional,courier_a
0955,PTG,Regional,courier_a
0956,PTG,Regional,courier_a
0957,PTG,Regional,courier_a
0958,PTG,Regional,courier_a
0959,PTG,Regional,courier_a
0960,PTG,Regional,courier_a
0961,PTG,Regional,courier_a
0962,PTG,Regional,courier_a
0963,PTG,Regional,courier_a
0964,PTG,Regional,courier_a
0967,PTG,Regional,courier_a
0968,PTG,Regional,courier_a
0969,PTG,Regional,courier_a
0970,PTG,Regional,courier_a
0971,PTG,Regional,courier_a
0972,PTG,Regional,courier_a
0973,PTG,Regional,courier_a
0974,PTG,Regional,courier_a
0975,PTG,Regional,courier_a
0976,PTG,Regional,courier_a
0977,PTG,Regional,courier_a
0978,PTG,Regional,courier_a
0979,PTG,Regional,courier_a
0980,PTG,Regional,courier_a
0981,PTG,Regional,courier_a
0982,PTG,Regional,courier_a
0983,PTG,Regional,courier_a
0984,PTG,Regional,courier_a
0985,PTG,Regional,courier_a
0986,PTG,Regional,courier_a
0987,PTG,Regional,courier_a
0988,PTG,Regional,courier_a
0989,PTG,Regional,courier_a
0990,PTG,Regional,courier_a
0991,PTG,Regional,courier_a
0992,PTG,Regional,courier_a
0993,PTG,Regional,courier_a
0994,PTG,Regional,courier_a
0995,PTG,Regional,courier_a
0996,PTG,Regional,courier_a
0997,PTG,Regional,courier_a
0998,PTG,Regional,courier_a
0999,PTG,Regional,courier_a
1000,PTA,Regional,courier_a
1001,PTA,Regional,courier_a
1002,PTA,Regional,courier_a
1003,PTA,Regional,courier_a
1004,PTA,Regional,courier_a
1005,PTA,Regional,courier_a
1007,PTG,Regional,courier_a
1008,PTG,Regional,courier_a
1020,WIT,Regional,courier_a
1021,WIT,Regional,courier_a
1022,WIT,Regional,courier_a
1023,WIT,Regional,courier_a
1024,WIT,Regional,courier_a
1025,WIT,Regional,courier_a
1026,WIT,Regional,courier_a
1027,PTA,Regional,courier_a
1028,WIT,Regional,courier_a
1029,WIT,Regional,courier_a
1030,WIT,Regional,courier_a
1032,WIT,Main,courier_a
1033,WIT,Main,courier_a
1034,WIT,Main,courier_a
1035,WIT,Main,courier_a
1036,WIT,Main,courier_a
1037,WIT,Main,courier_a
1038,WIT,Main,courier_a
1039,WIT,Main,courier_a
1040,WIT,Regional,courier_a
1041,WIT,Regional,courier_a
1042,WIT,Main,courier_a
1043,WIT,Regional,courier_a
1044,WIT,Main,courier_a
1045,WIT,Main,courier_a
1046,WIT,Regional,courier_a
1047,WIT,Regional,courier_a
1048,WIT,Main,courier_a
1049,WIT,Main,courier_a
1050,WIT,Main,courier_a
1051,WIT,Regional,courier_a
1052,WIT,Regional,courier_a
1053,WIT,Regional,courier_a
1054,WIT,Regional,courier_a
1055,WIT,Regional,courier_a
1056,WIT,Regional,courier_a
1057,WIT,Regional,courier_a
1058,WIT,Regional,courier_a
1059,WIT,Regional,courier_a
1060,PTG,Regional,courier_a
1061,WIT,Regional,courier_a
1062,WIT,Regional,courier_a
1063,PTG,Regional,courier_a
1064,WIT,Regional,courier_a
1065,NLS,Regional,courier_a
1066,WIT,Regional,courier_a
1067,PTG,Regional,courier_a
1068,WIT,Regional,courier_a
1069,WIT,Regional,courier_a
1070,WIT,Main,courier_a
1071,WIT,Regional,courier_a
1072,WIT,Main,courier_a
1073,WIT,Regional,courier_a
1074,WIT,Regional,courier_a
1075,WIT,Regional,courier_a
1076,WIT,Regional,courier_a
1077,WIT,Regional,courier_a
1078,WIT,Regional,courier_a
1079,WIT,Main,courier_a
1080,WIT,Regional,courier_a
1081,PTA,Regional,courier_a
1082,WIT,Regional,courier_a
1084,WIT,Regional,courier_a
1085,WIT,Regional,courier_a
1086,WIT,Regional,courier_a
1087,WIT,Regional,courier_a
1089,WIT,Regional,courier_a
1090,WIT,Regional,courier_a
1095,WIT,Regional,courier_a
1096,WIT,Regional,courier_a
1097,WIT,Regional,courier_a
1098,WIT,Regional,courier_a
1100,NLS,Regional,courier_a
1101,NLS,Regional,courier_a
1102,NLS,Regional,courier_a
1110,NLS,Regional,courier_a
1111,WIT,Regional,courier_a
